ticker;free_float;weight
LKOH;55%;0.1602308
SBER;48%;0.122589959
SBERP;100%;0.023654761
GAZP;50%;0.114935019
TATN;32%;0.062673049
YDEX;15%;0.041067988
GMKN;32%;0.037263039
TCSG;56%;0.036815865
NVTK;21%;0.034280187
SNGS;25%;0.02976646
PLZL;22%;0.028822374
SNGSP;73%;0.028539722
ROSN;11%;0.021181916
CHMF;23%;0.017147358
PIKK;21%;0.01288575
IRAO;32%;0.014139849
NLMK;21%;0.012285707
OZON;33%;0.011952632
FIVE;41%;0.011453486
TATNP;100%;0.011545682
MOEX;65%;0.011476576
RUAL;18%;0.011940152
MAGN;20%;0.010619778
MGNT;37%;0.010164268
ALRS;34%;0.009932508
RTKM;29%;0.008864789
MTSS;41%;0.009267138
VTBR;17%;0.007181952
AGRO;24%;0.007356887
AFLT;25%;0.007852762
POSI;21%;0.006606505
PHOR;26%;0.00671608
CBOM;22%;0.005682532
AFKS;33%;0.005324813
VKCO;47%;0.005318125
TRNFP;37%;0.005770575
BSPB;27%;0.0048501
FLOT;16%;0.004957006
FEES;18%;0.003461568
ENPG;14%;0.003221608
ASTR;15%;0.003041828
MSNG;20%;0.002928427
UPRO;16%;0.002504553
SELG;25%;0.002687662
MTLR;43%;0.002187736
HYDR;15%;0.001946107
LEAS;13%;0.001827942
SMLT;9%;0.001670161
MTLRP;60%;0.001408257
